contact,name,abbreviation,site owner,link,link to the data (direct / indirect),geographical scope,  API,type of records,data export formats,restrictions,description (taken or adapted from the website),accession date,comments
none found. Probably AMCOW Executive Secretary Dr. Canisiu Kanangire,Africa Water Sector and Sanitation Monitoring and Reporting,,African Minister's Council on Water (AMCOW) & African Union,http://www.africawat-sanreports.org/IndicatorReporting/home,direct,Africa,none found,Repository,Excel,,"A monitoring and reporting framework designed to provide a response to and follow-up on the political commitments made concerning water and sanitation at the continental level. Indicator reporting, version 8.0.1 ",19 June 2017,
none found. waterinfo@bom.gov.au,Water Data Online,,"Commonwealth of Australia, Bureau of Meteorology (BOM)",http://www.bom.gov.au/waterdata/ ,direct,Australia,none found,Repository ?,"CSV table, WDTF, Plain Text, HTML, JSON, WaterML2",,Australian Bureau of Meteorology online water data.,19 June 2017,
"John Watkins, Head of Environmental Informatics jww@ceh.ac.uk; Matt Fry, Environmental Informatics Manager & Group leader Water Information Management group, mfry@ceh.ac.uk; Susannah Rennie, UK Environmental Change Network (ECN) Data Centre Manager, srennie@ceh.ac.uk",Environmental Information Platform,EIP,Centre for Ecology & Hydrology (CEH); Research Centre of the Natural Environment Research Council (NERC),http://www.ceh.ac.uk/data,"indirect; includes CEH Drought portal, UK rainfall, ",United Kingdom,probably on request (see comments),Catalog? / Mixed?,text tables,login required  for downloading datasets,"Long-term, national-scale data provided by the Centre for Ecology and Hydrology (UK)",19 June 2017,"""the platform can provide programmatic access to datasets where appropriate"" (Web Map Services, Web Feature Services, OpenDAP). Statement without clear instructions"
"Isabella Tindall, NRFA Manager, cit@ceh.ac.uk",National River Flow Archive,NRFA,Centre for Ecology & Hydrology (CEH); Research Centre of the Natural Environment Research Council (NERC),http://nrfa.ceh.ac.uk/data/search,direct,United Kingdom,none found,Repository?,"csv, some in WINFAP-FEH",,"UK's focal point for river flow data. The NRFA collates, quality controls, and archives hydrometric data from gauging station networks across the UK. ",19 June 2017,
"programs and website inquiries: commgr@cuahsi.org; Martin Seul, Technical Director, mseul@cuahsi.org",CUAHSI Data Services,CUAHSI,"Consortium of Universities for the Advancement of Hydrological Science, Inc.",https://www.cuahsi.org/data-models/,indirect,United States of America,open API (see comment),Repository?,"csv, XML, WaterML1.1",,Data provided by the Consortium of Universities for the Advancement of Hydrologic Science (US) ,22 June 2017,API does not seem usable. link to API documentation: https://www.cuahsi.org/data-models/for-developers/
PML: Steve Groom (SBG@pml.ac.uk),eartH2Observe Water Cycle Integrator,WCI,Plymouth Marine Laboratory (PML),https://wci.earth2observe.eu/,indirect,global,functional API,Datawarehouse / Mixed?,"WCS, WMS, OPeNDAP, ",login required to save and share plots and data layers,"The WCI portal takes data that you select and plots it on a map to help you analyse, export and share it.",22 June 2017,eartH2Observe is an EU-FP7 project lasting until the end of 2017
"Stephan Hug, Ursula Schönenberger",National long-term surveillance of Swiss rivers,NADUF,Eawag,http://www.eawag.ch/en/department/wut/main-focus/chemistry-of-water-resources/naduf/,indirect,Switzerland,none found,,Excel,,Long term data series collected as part of the program “National Long-Term Surveillance of Swiss Rivers” (NADUF).,22 June 2017,
none found. Contact form & forum,Water Data Centre,,European Environment Agency,http://www.eea.europa.eu/themes/water/dc ,indirect,Europe,rest-API & GIS applications API,,Excel / external links,,European entry point for water related data as part of the Water Information System for Europe (WISE). ,22 June 2017,https://www.eea.europa.eu/code
aquastat@fao.org,Aquastat,,Food and Agriculture Organization of the United Nations (FAO),http://www.fao.org/nr/water/aquastat/main/index.stm ,indirect,global,none found,,Excel / CSV table,,"FAO’s global water information system, developed by the Land and Water Division ",22 June 2017,
"info@freshwaterplatform.eu, Astrid Schmidt-Kloiber (BOKU, astrid.schmidt-kloiber@boku.ac.at) & Jörg Strackbein (UDE, joerg.strackbein@uni-due.de)",Freshwater Information Platform,,"BOKU Vienna, UDE Essen, IGB Berlin & RBINS Brussels",http://www.freshwaterplatform.eu/,indirect,"Europe, partly global",none found,,Excel / CSV table,login required for some extended functions,"A platform offering links to data, maps, tools and other resources relating to freshwater resources and their biodiversity.",23 June 2017,
